"param","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"71","N.sad[9]",27.0059466666667,4.5690744513805,18,24,27,30,36,1.0005197085242,4990,0,1
"72","N.sad[10]",28.6230666666667,4.74683776789595,20,25,29,32,38,1.00341141155606,675,0,1
"73","N.sad[11]",28.7920266666667,4.76690742342025,20,26,29,32,38,1.00093425166598,2369,0,1
"74","N.imm[1]",25.7906933333333,8.49336727768368,9,20,26,32,43,1.00008045709371,21703,0,1
"75","N.imm[2]",34.09488,6.0710795854166,23,30,34,38,46,1.00002613576622,37500,0,1
"76","N.imm[3]",36.7521866666667,6.15703820531224,25,33,37,41,49,1.00006550306964,18974,0,1
"77","N.imm[4]",32.0923466666667,5.74603450600122,21,28,32,36,44,1.00002837863165,37500,0,1
"78","N.imm[5]",33.6106933333333,5.78264288120239,23,30,33,37,45,1.00004924058544,24983,0,1
"79","N.imm[6]",34.0053066666667,5.75068463019155,23,30,34,38,46,1.00000690571634,37500,0,1
"80","N.imm[7]",35.7599733333333,5.97428759956232,25,32,36,40,48,1.00006633007199,20179,0,1
"81","N.imm[8]",31.8112,5.66796241294974,21,28,32,36,43,1.00034111716698,5430,0,1
"82","N.imm[9]",31.5530933333333,5.56909641027019,21,28,31,35,43,1.00006625030975,37500,0,1
"83","N.imm[10]",36.3254133333333,5.98989785103686,25,32,36,40,49,1.00056056552784,4476,0,1
"84","N.imm[11]",33.6705066666667,5.94519890502884,22,30,34,37,46,1.00002217705332,37500,0,1
"85","Ntot[1]",77.2684266666667,7.6804739556072,63,72,77,82,93,1.00004472539143,34306,0,1
"86","Ntot[2]",68.8030933333333,6.0373824154949,57,65,69,73,81,1.00037557765645,5449,0,1
"87","Ntot[3]",70.06352,6.01575018233583,59,66,70,74,82,1.00026299941089,7192,0,1
"88","Ntot[4]",63.5995733333333,5.84212592266121,53,60,64,67,75,0.999980311306759,37500,0,1
"89","Ntot[5]",61.81728,5.78080829481954,51,58,62,66,74,1.00045384666261,4115,0,1
"90","Ntot[6]",62.2459466666667,5.77557614135732,51,58,62,66,74,1.00032650521522,5607,0,1
"91","Ntot[7]",65.4566133333333,5.88955481452658,54.475,61,65,69,77,1.00002821628299,37500,0,1
"92","Ntot[8]",61.6939733333333,5.7887973377273,51,58,62,65,74,1.00014903954125,11395,0,1
"93","Ntot[9]",58.6587733333333,5.71494490884767,48,55,59,62,70,1.00027956291254,8319,0,1
"94","Ntot[10]",65.01872,5.88813842394827,54,61,65,69,77,1.00087260478344,2817,0,1
"95","Ntot[11]",62.52744,6.08850246306319,51,58,62,66,75,1.0001726673416,11390,0,1
"96","lambda[1]",0.897391908241776,0.104230630218855,0.712765957446808,0.824324324324324,0.89041095890411,0.961538461538462,1.12068965517241,1.00047647970806,4660,0,1
"97","lambda[2]",1.02455902986457,0.112330971029858,0.826666666666667,0.945205479452055,1.01515151515152,1.0952380952381,1.26354166666667,1.00080485302017,2437,0,1
"98","lambda[3]",0.91270601205699,0.100040104779809,0.728395061728395,0.844155844155844,0.907692307692308,0.973333333333333,1.12121212121212,1.00013503974041,16790,0,1
"99","lambda[4]",0.978326393026142,0.113318411382945,0.774647887323944,0.9,0.96969696969697,1.04918032786885,1.21666666666667,1.00032131870316,5588,0,1
"100","lambda[5]",1.01358736375058,0.116193610185909,0.805970149253731,0.933333333333333,1,1.08771929824561,1.26,1.00003499451635,37500,0,1
"101","lambda[6]",1.0585706048518,0.120118214276298,0.845070422535211,0.971830985915493,1.05,1.13333333333333,1.31578947368421,1.00035292428702,5820,0,1
"102","lambda[7]",0.948142507993314,0.106794661675642,0.753623188405797,0.875,0.942028985507246,1.01612903225806,1.17460317460317,1.00023673948857,13931,0,1
"103","lambda[8]",0.957134407642789,0.113524824988857,0.753846153846154,0.878787878787879,0.950819672131147,1.03174603174603,1.19642857142857,1.00051199921964,3655,0,1
"104","lambda[9]",1.11676346079182,0.131579210206845,0.885714285714286,1.02857142857143,1.10714285714286,1.19642857142857,1.40384615384615,1.0013110684047,1735,0,1
"105","lambda[10]",0.967448097589614,0.111536869185254,0.763157894736842,0.89041095890411,0.964285714285714,1.03508771929825,1.2,1.00098612616143,2228,0,1
"106","m.phi1",0.041348224067371,0.107490798474331,1.84875075209504e-05,0.000243027758745549,0.000719502990287637,0.0109796586451236,0.438237242301156,1.64836596650946,8,0,1
"107","m.phia",0.457293176993657,0.0227334995279652,0.413083584530994,0.442108131221505,0.457094396878133,0.472519090150857,0.501997887052679,1.00272557017632,2465,0,1
"108","m.prod",2.58396145261304,0.10439167092419,2.38475149042105,2.51671462261927,2.58143799551708,2.64786133113647,2.79609771710431,1.0009263089207,2413,0,1
"109","m.lambda",0.979173784920085,0.0139331735810121,0.952337988948188,0.969672712356184,0.979090784025127,0.988459886738778,1.0070203870465,1.00021202922728,9587,0,1
"110","m.omega",33.941368264735,3.29536552261572,27.6319545176012,31.712825230058,33.8708701356361,36.0887428420909,40.5614462136951,1.00037764236278,6074,0,1
"111","deviance",219.798175170924,6.73614872921527,208.281038149125,214.935539580863,219.283495600012,223.980023019088,234.454684171707,1.00338166912197,617,0,1
